date,torque_value,p_f,asset_tag,brand,nominal_torque,location,nominal
06/23/21," 1.069 Nm   
",fail,SB-M-H-FIN001,Hitachi,0.6Nm (±5%),ServerBuild,0.6
6/21/2021," 0.990 Nm   
",fail,SB-M-L1-037,Panasonic,0.9Nm (±5%),ServerLine1,0.9
6/21/2021," 1.032 Nm   
",fail,SB-M-L1-035,Panasonic,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-038,Panasonic,0.9Nm (±5%),ServerLine1,0.9
,,,SB-M-L1-036,Panasonic,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-001,Kilews,0.3Nm (±5%),ServerLine1,0.3
,,,SB-M-L1-002,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-003,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-004,Kilews,0.3Nm (±5%),ServerLine1,0.3
,,,SB-M-L1-005,Kilews,0.3Nm (±5%),ServerLine1,0.3
,,,SB-M-L1-006,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-007,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-008,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-009,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-010,Kilews,1.0Nm (±5%),ServerLine1,1
,,,SB-M-L1-011,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-012,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-013,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-014,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-015,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-016,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-017,Kilews,1.5Nm (±5%),ServerLine1,1.5
,,,SB-M-L1-018,Kilews,1.5Nm (±5%),ServerLine1,1.5
,,,SB-M-L1-019,Kilews,0.6Nm (±5%),ServerLine1,0.6
6/21/2021," 1.017 Nm   
",pass,SB-M-L1-020,Kilews,1.0Nm (±5%),ServerLine1,1
,,,SB-M-L1-021,Kilews,1.0Nm (±5%),ServerLine1,1
,,,SB-M-L1-022,Kilews,1.0Nm (±5%),ServerLine1,1
,,,SB-M-L1-023,Kilews,1.35Nm (±5%),ServerLine1,1.35
,,,SB-M-L1-024,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-025,Kilews,1.35Nm (±5%),ServerLine1,1.35
,,,SB-M-L1-026,Kilews,1.35Nm (±5%),ServerLine1,1.35
,,,SB-M-L1-027,Kilews,0.9Nm (±5%),ServerLine1,0.9
,,,SB-M-L1-028,Kilews,0.9Nm (±5%),ServerLine1,0.9
,,,SB-M-L1-029,Kilews,1.6Nm (±5%),ServerLine1,1.6
,,,SB-M-L1-030,Kilews,1.6Nm (±5%),ServerLine1,1.6
,,,SB-M-L1-031,Kilews,1.4Nm (±5%),ServerLine1,1.4
,,,SB-M-L1-032,Kilews,1.95Nm (±5%),ServerLine1,1.95
,,,PRO-0045,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-0048,Kilews,0.3Nm (±5%),ServerLine1,0.3
,,,PRO-0373,Kilews,1.5Nm (±5%),ServerLine1,1.5
,,,PRO-0374,Kilews,1.5Nm (±5%),ServerLine1,1.5
,,,PRO-0455,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-0509,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-0583,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-0597,Kilews,1.35Nm (±5%),ServerLine1,1.35
,,,PRO-0613,Kilews,1.4Nm (±5%),ServerLine1,1.4
,,,PRO-1112,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-1187,Kilews,0.3Nm (±5%),ServerLine1,0.3
,,,PRO-1198,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-1393,Hitachi,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-1430,Hitachi,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-1437,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-2439,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-2670,Hitachi,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-2703,Kilews,0.8Nm (±5%),ServerLine1,0.8
,,,PRO-2722,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-2732,Kilews,1.4Nm (±5%),ServerLine1,1.4
,,,PRO-2743,Kilews,0.9Nm (±5%),ServerLine1,0.9
,,,PRO-2745,Kilews,0.9Nm (±5%),ServerLine1,0.9
,,,PRO-37,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-4009,Kilews,1.0Nm (±5%),ServerLine1,1
,,,PRO-4013,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-4015,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-4016,Kilews,1.0Nm (±5%),ServerLine1,1
,,,PRO-4021,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-4039,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-4103,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-4107,Hitachi,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-44,Kilews,0.3Nm (±5%),ServerLine1,0.3
,,,PRO-45,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-7081,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,PRO-7089,Kilews,0.8Nm (±5%),ServerLine1,0.8
,,,SB-M-L1-001,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-m-L1-0015,Kilews,0.3Nm (±5%),ServerLine1,0.3
,,,SB-M-L1-002,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-003,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-008,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-012,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-013,Kilews,0.3Nm (±5%),ServerLine1,0.3
,,,SB-M-L1-014,Kilews,0.3Nm (±5%),ServerLine1,0.3
,,,SB-M-L1-016,Kilews,0.3Nm (±5%),ServerLine1,0.3
,,,SB-M-L1-021,Kilews,1.6Nm (±5%),ServerLine1,1.6
,,,SB-M-L1-022,Kilews,1.6Nm (±5%),ServerLine1,1.6
,,,SB-M-L1-024,Kilews,1.0Nm (±5%),ServerLine1,1
,,,SB-M-L1-026,Kilews,1.0Nm (±5%),ServerLine1,1
,,,SB-m-L1-O23,Kilews,1.0Nm (±5%),ServerLine1,1
,,,SB-M-L1-OO4,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-OO5,Kilews,0.6Nm (±5%),ServerLine1,0.6
,,,SB-M-L1-test,Kilews,specialrequest,ServerLine1,spe
,,,SB-M-L2-034,Panasonic,0.6Nm (±5%),ServerLine2,0.6
,,,SB-M-L2-035,Panasonic,0.6Nm (±5%),ServerLine2,0.6
,,,SB-M-L2-001,Kilews,0.6Nm (±5%),ServerLine2,0.6
,,,SB-M-L2-002,Kilews,0.3Nm (±5%),ServerLine2,0.3
,,,SB-M-L2-003,Kilews,0.3Nm (±5%),ServerLine2,0.3
,,,SB-M-L2-004,Kilews,0.3Nm (±5%),ServerLine2,0.3
,,,SB-M-L2-005,Kilews,0.6Nm (±5%),ServerLine2,0.6
,,,SB-M-L2-007,Kilews,0.6Nm (±5%),ServerLine2,0.6
,,,SB-M-L2-008,Kilews,0.6Nm (±5%),ServerLine2,0.6
,,,SB-M-L2-009,Kilews,0.6Nm (±5%),ServerLine2,0.6
,,,SB-M-L2-010,Kilews,0.6Nm (±5%),ServerLine2,0.6
,,,SB-M-L2-011,Kilews,0.3Nm (±5%),ServerLine2,0.3
